id;quantity;start_date;expiry_date;last_update_timestamp;last_update_id;status
1;87733;2019-12-16;2019-12-17;2019-12-17;Bacon Designer;Equatorial Guinea Vision-oriented
2;9310;2019-12-16;2019-12-16;2019-12-17;THX pink even-keeled;bus Internal AI
3;77987;2019-12-16;2019-12-16;2019-12-16;Marketing;Dynamic Home Loan Account Tools
4;10147;2019-12-16;2019-12-16;2019-12-16;clear-thinking;Latvia
5;69189;2019-12-17;2019-12-16;2019-12-16;Fish;Networked
6;32539;2019-12-17;2019-12-16;2019-12-17;program alarm;Nevada
7;9367;2019-12-17;2019-12-17;2019-12-16;Ergonomic;Strategist target
8;89204;2019-12-16;2019-12-16;2019-12-17;dot-com payment Libyan Dinar;white sensor local
9;2431;2019-12-16;2019-12-16;2019-12-17;Representative;Response Human
10;37015;2019-12-16;2019-12-17;2019-12-16;hardware Venezuela Wisconsin;SDD disintermediate reinvent
