id;submit_date;last_update_timestamp;last_update_id;sales_order_id
1;2019-12-16;2019-12-17;Hat;supply-chains magenta
2;2019-12-17;2019-12-17;User-centric Gloves;Mauritania
3;2019-12-16;2019-12-17;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance
4;2019-12-17;2019-12-17;Analyst paradigms;encompassing
5;2019-12-16;2019-12-16;Canadian Dollar;Berkshire Designer
6;2019-12-17;2019-12-16;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal
7;2019-12-17;2019-12-16;optical;installation
8;2019-12-17;2019-12-16;HDD;Algerian Dinar
9;2019-12-17;2019-12-16;open-source turn-key;Sausages
10;2019-12-16;2019-12-17;Cambridgeshire hacking;bricks-and-clicks Concrete Global
